Cmd arguments are  ['cross-phase-similarity.py', 'skipMoss']
Calculating cross-phase similarity for phases 1 and 2
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('Christyyy-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('pmittal115-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('cgrieger12-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('shiboo18-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('jeffkeilmann-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('abelal16-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('huayifang-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('ishwetasingh-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('aterriqu-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('lheston-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('wluan-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('pjt90-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('meetalivaidya-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('lostkuma-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('prachitamane-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('crloflin-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('MegamindHenry-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('hsu-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('mgogte-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('ccand93-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('dengc-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('sauravn-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('patrickherrod-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('ankitbatheja-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)])),
             ('tanmayee123-cp',
              OrderedDict([('taycurt17', 0),
                           ('crloflin', 0),
                           ('pmittal115', 0),
                           ('ankitbatheja', 0),
                           ('ishwetasingh', 0),
                           ('pjt90', 0),
                           ('sauravn', 0),
                           ('dengc', 0),
                           ('jeffkeilmann', 0),
                           ('Christyyy', 0),
                           ('prachitamane', 0),
                           ('ccand93', 0),
                           ('wluan', 0),
                           ('huayifang', 0),
                           ('patrickherrod', 0),
                           ('lheston', 0),
                           ('lostkuma', 0),
                           ('MegamindHenry', 0),
                           ('shiboo18', 0),
                           ('meetalivaidya', 0),
                           ('hsu', 0),
                           ('tanmayee123', 0),
                           ('cgrieger12', 0),
                           ('mgogte', 0),
                           ('aterriqu', 0),
                           ('abelal16', 0)]))])
Calculating cross-phase similarity for phases 2 and 3
cp 94 ishwetasingh 97 9259
cp 15 sauravn 5 265
cp 1 patrickherrod 0 215
cp 1 cp 13 306
MegamindHenry 44 cp 13 298
cp 68 lostkuma 33 253
cp 68 cp 40 260
MegamindHenry 42 cp 1 285
lostkuma 28 cp 33 204
cp 31 cp 59 389
cp 34 tanmayee123 47 212
cp 17 tanmayee123 46 207
cp 7 lostkuma 14 122
cp 27 dengc 18 166
patrickherrod 0 ishwetasingh 0 73
cp 23 dengc 14 139
cp 25 MegamindHenry 13 137
cp 11 dengc 13 132
lostkuma 9 cp 3 79
patrickherrod 0 sauravn 1 64
patrickherrod 0 taycurt17 45 42
cp 3 tanmayee123 25 85
MegamindHenry 10 lostkuma 7 65
cp 14 cp 2 67
MegamindHenry 8 cp 17 91
lostkuma 6 cp 0 58
cp 0 sauravn 0 46
cp 10 cp 58 49
cp 45 prachitamane 30 32
cp 13 dengc 7 97
MegamindHenry 6 cp 10 61
cp 13 cp 11 93
sauravn 0 ishwetasingh 0 38
cp 9 cp 2 46
cp 9 pmittal115 36 41
cp 12 cp 5 92
MegamindHenry 6 cp 5 55
cp 32 aterriqu 70 45
patrickherrod 0 cp 1 34
cp 2 cp 1 38
dengc 6 cp 46 40
cp 1 cp 45 39
cp 0 cp 4 44
cp 8 cp 0 44
lostkuma 4 dengc 5 39
cp 2 dengc 5 39
cp 28 cp 38 38
MegamindHenry 5 cp 33 49
pmittal115 29 dengc 5 38
cp 7 cp 8 47
cp 4 cp 1 40
cp 25 tanmayee123 11 36
ankitbatheja 0 patrickherrod 0 12
cp 8 huayifang 38 19
