"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-patrickherrod/ (51%);/Users/lord/Documents/2016green43/2016greenironhack4-patrickherrod/ (51%)","20812"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-ishwetasingh/ (97%);/Users/lord/Documents/2016green43/2016greenironhack4-ishwetasingh/ (97%)","9545"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack4-patrickherrod/ (16%);/Users/lord/Documents/2016green43/2016greenironhack4-ishwetasingh/ (95%)","9213"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack4-patrickherrod/ (16%);/Users/lord/Documents/2016green43/2016greenironhack3-ishwetasingh/ (95%)","9213"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-patrickherrod/ (16%);/Users/lord/Documents/2016green43/2016greenironhack4-ishwetasingh/ (95%)","9213"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-patrickherrod/ (16%);/Users/lord/Documents/2016green43/2016greenironhack3-ishwetasingh/ (95%)","9213"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-sauravn/ (89%);/Users/lord/Documents/2016green43/2016greenironhack4-sauravn/ (49%)","5823"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-ankitbatheja/ (97%);/Users/lord/Documents/2016green43/2016greenironhack4-ankitbatheja/ (94%)","161"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-lostkuma/ (42%);/Users/lord/Documents/2016green43/2016greenironhack4-pmittal115/ (44%)","1321"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-cgrieger12/ (76%);/Users/lord/Documents/2016green43/2016greenironhack4-cgrieger12/ (74%)","1141"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-MegamindHenry/ (99%);/Users/lord/Documents/2016green43/2016greenironhack4-MegamindHenry/ (99%)","1111"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-dengc/ (56%);/Users/lord/Documents/2016green43/2016greenironhack4-dengc/ (46%)","837"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-lostkuma/ (23%);/Users/lord/Documents/2016green43/2016greenironhack4-lostkuma/ (21%)","757"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack4-lostkuma/ (17%);/Users/lord/Documents/2016green43/2016greenironhack4-pmittal115/ (20%)","668"
"http://moss.stanford.edu/results/9031270/","/Users/lord/Documents/2016green43/2016greenironhack3-patrickherrod/ (0%);/Users/lord/Documents/2016green43/2016greenironhack4-sauravn/ (2%)","508"
