"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (33%);/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (9%)","223"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (24%);/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (33%)","222"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (23%);/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (9%)","207"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (23%);/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (24%)","207"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (9%);/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (31%)","211"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (23%);/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (31%)","211"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-meetalivaidya/ (92%);/Users/lord/Documents/2016green32/2016greenironhack3-meetalivaidya/ (69%)","158"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-taycurt17/ (84%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (57%)","125"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-pjt90/ (80%);/Users/lord/Documents/2016green32/2016greenironhack3-pjt90/ (79%)","243"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-shiboo18/ (99%);/Users/lord/Documents/2016green32/2016greenironhack3-shiboo18/ (99%)","106"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (17%);/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (15%)","234"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (17%);/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (11%)","229"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-prachitamane/ (60%);/Users/lord/Documents/2016green32/2016greenironhack2-prachitamane/ (67%)","104"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (8%);/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (1%)","160"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (14%);/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (13%)","178"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (14%);/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (9%)","181"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (7%);/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (9%)","135"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-ishwetasingh/ (0%)","68"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack2-ishwetasingh/ (0%)","65"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (6%);/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (11%)","138"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-wluan/ (83%);/Users/lord/Documents/2016green32/2016greenironhack3-wluan/ (53%)","120"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (1%);/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (0%)","82"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-huayifang/ (22%);/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (7%)","166"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%)","68"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (5%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (31%)","86"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (30%)","50"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (7%);/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%)","133"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (30%)","62"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack2-taycurt17/ (40%)","42"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack2-taycurt17/ (39%)","55"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (9%);/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%)","95"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-shiboo18/ (50%)","76"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack2-shiboo18/ (50%)","76"
