"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-patrickherrod/ (16%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-ishwetasingh/ (96%)","9258"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-lostkuma/ (17%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-pmittal115/ (20%)","668"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-sauravn/ (2%)","519"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-abelal16/ (51%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-cgrieger12/ (31%)","410"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-cgrieger12/ (23%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-pmittal115/ (13%)","274"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-MegamindHenry/ (40%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-sauravn/ (1%)","313"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-abelal16/ (36%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-pmittal115/ (12%)","269"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-MegamindHenry/ (37%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-patrickherrod/ (0%)","291"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-cgrieger12/ (12%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-sauravn/ (1%)","241"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-abelal16/ (16%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-sauravn/ (0%)","172"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-cgrieger12/ (9%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-dengc/ (8%)","158"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-abelal16/ (15%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-dengc/ (8%)","178"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-lostkuma/ (3%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-sauravn/ (0%)","103"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-dengc/ (7%)","140"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-pmittal115/ (4%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-sauravn/ (0%)","111"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-abelal16/ (10%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-huayifang/ (9%)","120"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-huayifang/ (8%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-dengc/ (6%)","169"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-taycurt17/ (32%)","73"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-ishwetasingh/ (0%)","108"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-lostkuma/ (2%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-patrickherrod/ (0%)","73"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-MegamindHenry/ (9%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-lostkuma/ (2%)","65"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-MegamindHenry/ (9%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-abelal16/ (9%)","114"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-shiboo18/ (50%)","78"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-jeffkeilmann/ (95%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-ishwetasingh/ (0%)","91"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-ankitbatheja/ (1%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-patrickherrod/ (0%)","29"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-cgrieger12/ (4%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-patrickherrod/ (0%)","79"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-pmittal115/ (2%)","59"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-MegamindHenry/ (7%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-cgrieger12/ (4%)","68"
"http://moss.stanford.edu/results/359045068/","/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-cgrieger12/ (4%);/Users/lord/Documents/2016greenironhack-phase4-master/2016greenironhack-taycurt17/ (22%)","68"
