"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-pmittal115/ (32%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (4%)","37"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-tanmayee123/ (70%);/Users/lord/Documents/2016green21/2016greenironhack2-tanmayee123/ (10%)","40"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-aterriqu/ (63%);/Users/lord/Documents/2016green21/2016greenironhack2-tanmayee123/ (10%)","41"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-tanmayee123/ (70%);/Users/lord/Documents/2016green21/2016greenironhack2-aterriqu/ (63%)","41"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-huayifang/ (44%);/Users/lord/Documents/2016green21/2016greenironhack2-huayifang/ (28%)","42"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%)","14"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-tanmayee123/ (10%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (19%)","36"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (3%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (19%)","46"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-huayifang/ (42%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (4%)","39"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-cgrieger12/ (2%);/Users/lord/Documents/2016green21/2016greenironhack-tanmayee123/ (61%)","33"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (3%);/Users/lord/Documents/2016green21/2016greenironhack-tanmayee123/ (61%)","33"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-cgrieger12/ (2%);/Users/lord/Documents/2016green21/2016greenironhack2-aterriqu/ (54%)","34"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (3%);/Users/lord/Documents/2016green21/2016greenironhack2-aterriqu/ (54%)","34"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (2%);/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%)","33"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (3%);/Users/lord/Documents/2016green21/2016greenironhack-huayifang/ (38%)","34"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-cgrieger12/ (2%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (16%)","32"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-tanmayee123/ (58%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (16%)","31"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-aterriqu/ (52%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (16%)","32"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (4%);/Users/lord/Documents/2016green21/2016greenironhack-MegamindHenry/ (63%)","24"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-pmittal115/ (24%);/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (0%)","23"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-ishwetasingh/ (0%)","7"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-meetalivaidya/ (26%);/Users/lord/Documents/2016green21/2016greenironhack2-tanmayee123/ (8%)","42"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-meetalivaidya/ (16%);/Users/lord/Documents/2016green21/2016greenironhack2-tanmayee123/ (8%)","44"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (2%);/Users/lord/Documents/2016green21/2016greenironhack-lostkuma/ (31%)","26"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-huayifang/ (32%);/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (1%)","27"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-prachitamane/ (96%);/Users/lord/Documents/2016green21/2016greenironhack2-prachitamane/ (14%)","27"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%)","19"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green21/2016greenironhack-lostkuma/ (28%)","16"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (3%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (2%)","26"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (2%);/Users/lord/Documents/2016green21/2016greenironhack2-prachitamane/ (11%)","16"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-prachitamane/ (11%)","15"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (2%);/Users/lord/Documents/2016green21/2016greenironhack2-prachitamane/ (11%)","18"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (0%)","20"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (2%);/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%)","25"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-huayifang/ (15%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (2%)","22"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-shiboo18/ (13%)","15"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green21/2016greenironhack-shiboo18/ (13%)","15"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-huayifang/ (22%);/Users/lord/Documents/2016green21/2016greenironhack2-pmittal115/ (15%)","20"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (2%);/Users/lord/Documents/2016green21/2016greenironhack-lostkuma/ (21%)","12"
