"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (7%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (0%)","53"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (3%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%)","59"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-huayifang/ (12%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (6%)","83"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-dengc/ (3%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (16%)","43"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-abelal16/ (5%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%)","44"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-MegamindHenry/ (5%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-huayifang/ (10%)","57"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-MegamindHenry/ (4%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-abelal16/ (4%)","39"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (1%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-dengc/ (3%)","39"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (2%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-aterriqu/ (19%)","40"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-aterriqu/ (19%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-wluan/ (20%)","38"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-MegamindHenry/ (4%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (4%)","36"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (2%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-tanmayee123/ (9%)","33"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (2%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-huayifang/ (7%)","38"
