Project Name,Approximate number of lines of code
danzheng,543.6666666666666
thesoupgirl,632.3636363636364
sauravn,32809.583333333336
saul97,710.6363636363636
drewatk,672.4545454545455
emmyzhang,840.0
cg505,0.0
lennax,373.1818181818182
kathy789,707.1818181818181
rkp7,632.3636363636364
analyst1001,682.6363636363636
nathanamorin,12476.666666666666
pptx,632.3636363636364
