Phase creation metric
Participant,Phase 2-1,Phase 3-2,Phase 4-3,Lines in Phase 1,Lines in Phase 2,Lines in Phase 3,Lines in Phase 4
danzheng,199.83333333333337,11102.333333333334,543.6666666666666,743.5,11845.833333333334
thesoupgirl,5.803030303030255,21.416666666666742,632.3636363636364,638.1666666666666,659.5833333333334
sauravn,-27955.73717948718,250.0,32809.583333333336,4853.846153846154,5103.846153846154
saul97,46.946969696969745,-58.25,710.6363636363636,757.5833333333334,699.3333333333334
drewatk,30.878787878787875,55.25,672.4545454545455,703.3333333333334,758.5833333333334
emmyzhang,129.38461538461536,342.0000000000001,840.0,969.3846153846154,1311.3846153846155
cg505,0.0,0.0,0.0,0.0,0.0
lennax,217.73484848484844,266.7756410256411,373.1818181818182,590.9166666666666,857.6923076923077
kathy789,37.31818181818187,60.75,707.1818181818181,744.5,805.25
rkp7,5.803030303030255,21.416666666666742,632.3636363636364,638.1666666666666,659.5833333333334
analyst1001,11.780303030303003,37.33333333333337,682.6363636363636,694.4166666666666,731.75
nathanamorin,-1022.1282051282051,931.8461538461543,12476.666666666666,11454.538461538461,12386.384615384615
pptx,5.803030303030255,21.416666666666742,632.3636363636364,638.1666666666666,659.5833333333334
chriscoraggio,915.8333333333334,374.01282051282044,0,915.8333333333334,1289.8461538461538
