Project Name,Approximate number of lines of code
danzheng,743.5
thesoupgirl,638.1666666666666
sauravn,4853.846153846154
saul97,757.5833333333334
drewatk,703.3333333333334
emmyzhang,969.3846153846154
cg505,0.0
lennax,590.9166666666666
kathy789,744.5
rkp7,638.1666666666666
analyst1001,694.4166666666666
chriscoraggio,915.8333333333334
nathanamorin,11454.538461538461
pptx,638.1666666666666
