,danzheng,thesoupgirl,sauravn,saul97,drewatk,emmyzhang,cg505,lennax,kathy789,rkp7,analyst1001,chriscoraggio,nathanamorin,pptx
danzheng,1,0,0.0672,0,0,0,0,0,0,0,0,0,0.02857,0
thesoupgirl,0,1,0,0.77342,0.80951,0.44117,0,0,0.79387,0.88,0.81129,0.6018,0.07648,0.88
sauravn,0.0672,0,1,0,0,0.0175,0,0.01882,0,0,0,0,0.01333,0
saul97,0,0.77342,0,1,0.70468,0.4,0,0,0.70326,0.77342,0.72945,0.54924,0.05772,0.77342
drewatk,0,0.80951,0,0.70468,1,0.44647,0,0,0.72221,0.80951,0.73784,0.55438,0.0578,0.80951
emmyzhang,0,0.44117,0.0175,0.4,0.44647,1,0,0.05714,0.42581,0.44117,0.42213,0.36329,0.05526,0.44117
cg505,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lennax,0,0,0.01882,0,0,0.05714,0,1,0.01333,0,0,0.015,0,0
kathy789,0,0.79387,0,0.70326,0.72221,0.42581,0,0.01333,1,0.79387,0.73469,0.55678,0.07584,0.79387
rkp7,0,0.88,0,0.77342,0.80951,0.44117,0,0,0.79387,1,0.81129,0.6018,0.07648,0.88
analyst1001,0,0.81129,0,0.72945,0.73784,0.42213,0,0,0.73469,0.81129,1,0.57311,0.076,0.81129
chriscoraggio,0,0.6018,0,0.54924,0.55438,0.36329,0,0.015,0.55678,0.6018,0.57311,1,0.07385,0.6018
nathanamorin,0.02857,0.07648,0.01333,0.05772,0.0578,0.05526,0,0,0.07584,0.07648,0.076,0.07385,1,0.07648
pptx,0,0.88,0,0.77342,0.80951,0.44117,0,0,0.79387,0.88,0.81129,0.6018,0.07648,1
