Project Name,Approximate number of lines of code
danzheng,11845.833333333334
thesoupgirl,659.5833333333334
sauravn,5103.846153846154
saul97,699.3333333333334
drewatk,758.5833333333334
emmyzhang,1311.3846153846155
cg505,0.0
lennax,857.6923076923077
kathy789,805.25
rkp7,659.5833333333334
analyst1001,731.75
chriscoraggio,1289.8461538461538
nathanamorin,12386.384615384615
pptx,659.5833333333334
