,danzheng,thesoupgirl,sauravn,saul97,drewatk,emmyzhang,cg505,lennax,kathy789,rkp7,analyst1001,chriscoraggio,nathanamorin,pptx
danzheng,1,0,0,0,0,0.045,0,0,0,0,0,0,0,0
thesoupgirl,0,1,0,0.79916,0.69901,0.29041,0,0.04875,0.79916,0.99,0.88492,0.62814,0.65554,0.99
sauravn,0,0,1,0,0,0.05333,0,0.01778,0,0,0,0,0.01895,0
saul97,0,0.79916,0,1,0.57379,0.25714,0,0.04364,0.67,0.79916,0.72925,0.54549,0.56603,0.79916
drewatk,0,0.69901,0,0.57379,1,0.26355,0,0.04364,0.56368,0.69901,0.62984,0.47673,0.47686,0.69901
emmyzhang,0.045,0.29041,0.05333,0.25714,0.26355,1,0,0.05833,0.25714,0.29041,0.27302,0.27679,0.28448,0.29041
cg505,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lennax,0,0.04875,0.01778,0.04364,0.04364,0.05833,0,1,0.06875,0.04875,0.04615,0.075,0.075,0.04875
kathy789,0,0.79916,0,0.67,0.56368,0.25714,0,0.06875,1,0.79916,0.72925,0.56949,0.56603,0.79916
rkp7,0,0.99,0,0.79916,0.69901,0.29041,0,0.04875,0.79916,1,0.88492,0.62814,0.65554,0.99
analyst1001,0,0.88492,0,0.72925,0.62984,0.27302,0,0.04615,0.72925,0.88492,1,0.58413,0.60775,0.88492
chriscoraggio,0,0.62814,0,0.54549,0.47673,0.27679,0,0.075,0.56949,0.62814,0.58413,1,0.50455,0.62814
nathanamorin,0,0.65554,0.01895,0.56603,0.47686,0.28448,0,0.075,0.56603,0.65554,0.60775,0.50455,1,0.65554
pptx,0,0.99,0,0.79916,0.69901,0.29041,0,0.04875,0.79916,0.99,0.88492,0.62814,0.65554,1
