Project Name,Approximate number of lines of code
danzheng,1000.0
thesoupgirl,148.33333333333334
sauravn,3403.846153846154
saul97,739.9166666666666
drewatk,206.25
emmyzhang,443.75
cg505,0.0
lennax,811.8333333333334
kathy789,277.25
rkp7,148.33333333333334
analyst1001,258.0
chriscoraggio,740.9230769230769
nathanamorin,2424.6666666666665
pptx,148.33333333333334
