Project Name,Approximate number of lines of code
danzheng,137.33333333333334
thesoupgirl,148.25
sauravn,4102.615384615385
saul97,221.75
drewatk,199.5
emmyzhang,455.38461538461536
cg505,0.0
lennax,589.9166666666666
kathy789,220.0
rkp7,148.25
analyst1001,180.0
chriscoraggio,311.1666666666667
nathanamorin,287.5
pptx,148.25
