Project Name,Approximate number of lines of code
danzheng,0.0
thesoupgirl,150.63636363636363
sauravn,7490.909090909091
saul97,211.9090909090909
drewatk,193.72727272727272
emmyzhang,382.54545454545456
cg505,0.0
lennax,366.54545454545456
kathy789,221.1818181818182
rkp7,150.63636363636363
analyst1001,181.27272727272728
nathanamorin,294.6363636363636
pptx,150.63636363636363
