Phase creation metric
Participant,Phase 2-1,Phase 3-2,Phase 4-3,Lines in Phase 1,Lines in Phase 2,Lines in Phase 3,Lines in Phase 4
danzheng,137.33333333333334,862.6666666666666,0.0,137.33333333333334,1000.0
thesoupgirl,-2.386363636363626,0.08333333333334281,150.63636363636363,148.25,148.33333333333334
sauravn,-3388.2937062937062,-698.769230769231,7490.909090909091,4102.615384615385,3403.846153846154
saul97,9.840909090909093,518.1666666666666,211.9090909090909,221.75,739.9166666666666
drewatk,5.7727272727272805,6.75,193.72727272727272,199.5,206.25
emmyzhang,72.8391608391608,-11.634615384615358,382.54545454545456,455.38461538461536,443.75
cg505,0.0,0.0,0.0,0.0,0.0
lennax,223.37121212121207,221.91666666666674,366.54545454545456,589.9166666666666,811.8333333333334
kathy789,-1.181818181818187,57.25,221.1818181818182,220.0,277.25
rkp7,-2.386363636363626,0.08333333333334281,150.63636363636363,148.25,148.33333333333334
analyst1001,-1.2727272727272805,78.0,181.27272727272728,180.0,258.0
nathanamorin,-7.136363636363626,2137.1666666666665,294.6363636363636,287.5,2424.6666666666665
pptx,-2.386363636363626,0.08333333333334281,150.63636363636363,148.25,148.33333333333334
chriscoraggio,311.1666666666667,429.7564102564102,0,311.1666666666667,740.9230769230769
