Project Name,Approximate number of lines of code
taycurt17,197.6153846153846
crloflin,37.833333333333336
pmittal115,123.11111111111111
ankitbatheja,2229.4117647058824
ishwetasingh,4025.0
pjt90,201.73333333333332
sauravn,5169.75
dengc,1005.5263157894736
jeffkeilmann,25.0
Christyyy,25.0
prachitamane,191.3846153846154
ccand93,0.0
wluan,157.4
huayifang,86.91666666666667
patrickherrod,4052.6315789473683
lheston,0.0
lostkuma,1212.5
MegamindHenry,946.4375
shiboo18,174.07692307692307
meetalivaidya,193.3125
hsu,92.7
tanmayee123,424.8235294117647
cgrieger12,1197.85
mgogte,0.0
aterriqu,58.583333333333336
abelal16,42.583333333333336
