Project Name,Approximate number of lines of code
taycurt17,265.6666666666667
crloflin,59.88235294117647
pmittal115,1022.9444444444445
ankitbatheja,2352.6315789473683
ishwetasingh,3353.6666666666665
pjt90,225.33333333333334
sauravn,7267.391304347826
dengc,1634.75
jeffkeilmann,31.333333333333332
Christyyy,49.666666666666664
prachitamane,259.35714285714283
ccand93,0.0
wluan,277.92857142857144
huayifang,467.4375
patrickherrod,14729.631578947368
lheston,0.0
lostkuma,2629.529411764706
MegamindHenry,1003.5555555555555
shiboo18,179.27777777777777
meetalivaidya,217.92307692307693
hsu,124.0
tanmayee123,3505.0
cgrieger12,1558.7
mgogte,0.0
aterriqu,197.07692307692307
abelal16,645.9473684210526
