Project Name,Approximate number of lines of code
taycurt17,0.0
crloflin,0.0
pmittal115,20.333333333333332
ankitbatheja,0.0
ishwetasingh,0.0
pjt90,105.71428571428571
sauravn,1239.8
dengc,0.0
jeffkeilmann,0.0
Christyyy,0.0
prachitamane,0.0
wluan,0.0
huayifang,36.333333333333336
patrickherrod,0.0
lheston,0.0
lostkuma,66.5
MegamindHenry,27.833333333333332
shiboo18,114.2
meetalivaidya,104.85714285714286
hsu,0.0
tanmayee123,41.166666666666664
cgrieger12,965.5
mgogte,0.0
aterriqu,0.0
abelal16,0.0
